idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,23916.28125000,0.00000000,0.00000000,0.00000000,1160.28125000,0.00000000,0.10751844,0.16971357,-5.71963167
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22924.60156250,0.00000000,0.00000000,0.00000000,-168.60156250,0.00000000,0.10751844,0.16971357,-5.71963167
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,209.42526245,2.26543140,3.00166512,-207.37836196,29.20882648,998.06793696,199.99995422,0.10751844,0.16971357,-5.71963167
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,209.42526245,-0.03049624,-0.13992757,207.37836115,-29.20883225,-6.38767300,199.99864197,0.10751844,0.16971357,-5.71963167
 120,  -11,        e+, 1,  94,  94,  -1,  -1,-556,   0,42.89928818,2.53912187,1.30364597,11.32472379,41.37752478,270.04256203,0.00051100,0.10617479,0.16988680,-5.71309805
 121,   23,        Z0,22,  94,  94, 130, 131,-556,  13,221.45700073,1.93349683,-3.07677102,-220.99189973,-14.34515342,749.52147946,91.18759918,0.10617479,0.16988680,-5.71309805
 122,   11,        e-,23,  95,  95, 124, 125, 556,  11,52.42198944,-0.03715687,1.39832151,8.99671272,51.64420720,-1.94828502,0.00051100,0.11083828,0.16933125,-5.71917820
 123,   23,        Z0,22,  95,  95, 126, 126, 556,  23,243.41465759,0.14169359,-0.33134589,230.17420537,-79.18668267,34.60582382,91.18759918,0.11083828,0.16933125,-5.71917820
 130,   13,       mu-, 1, 121, 121,  -1,  -1,  23,   0,155.05477905,2.12076044,-3.00955439,-153.70512103,-20.41372767,637.08402510,0.10566000,0.10617479,0.16988680,-5.71309805
 131,  -13,       mu+, 1, 121, 121,  -1,  -1,  23,   0,67.55987549,1.28255880,3.05164647,-67.28676933,6.06856240,112.43746251,0.10566000,0.10617479,0.16988680,-5.71309805
 132,   11,        e-,23, 126, 126, 136, 136,  23,  11,91.94852448,-0.28768092,-0.54727292,78.51914454,-47.84636970,-26.81820963,0.00051100,0.11083828,0.16933125,-5.71917820
 133,  -11,        e+,23, 126, 126, 134, 135,  23, -11,144.30084229,0.40381297,-0.18590198,141.81452923,-26.67156507,59.86716163,0.00051100,0.11083828,0.16933125,-5.71917820
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24198.24023438,0.00000000,0.00000000,0.00000000,1442.24023438,0.00000000,0.10746790,0.16815576,3.82764006
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22935.62695312,0.00000000,0.00000000,0.00000000,-179.62695312,0.00000000,0.10746790,0.16815576,3.82764006
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,165.50794983,2.78004074,-1.43651247,22.15831175,-164.01795840,1328.83367727,200.00006104,0.10746790,0.16815576,3.82764006
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,165.50794983,-0.39013317,1.70508015,-22.15830653,164.01795910,-66.22062319,199.99945068,0.10746790,0.16815576,3.82764006
 207,  -11,        e+,23, 162, 162, 209, 210,-556, -11,20.21972275,0.33772385,-2.33577871,-14.00264919,-14.58639790,6.95923524,0.00051100,0.10747036,0.16812032,3.82783604
 208,   23,        Z0,22, 162, 162, 211, 211,-556,  23,215.29278564,2.46174145,-1.43227947,29.72640756,-213.23068317,1252.99608029,91.18759918,0.10747036,0.16812032,3.82783604
 215,   11,        e-,23, 163, 163, 217, 218, 556,  11,210.10240173,-0.06077420,1.72788560,-32.86925819,207.51537553,-12.77666704,0.00051101,0.10713037,0.16904791,3.82761979
 216,   23,        Z0,22, 163, 163, 219, 219, 556,  23,62.53979874,0.11852354,2.68381286,-56.10044735,27.63993910,7.42980519,91.18759918,0.10713037,0.16904791,3.82761979
 223,   11,        e-,23, 211, 211, 225, 226,  23,  11,33.72770309,1.52244329,-1.78511035,-7.17311343,-32.95609807,73.61462416,0.00051100,0.10747036,0.16812032,3.82783604
 224,  -11,        e+,23, 211, 211, 227, 227,  23, -11,184.01222229,2.55692148,-1.36889994,36.89952127,-180.27457747,1179.38146871,0.00051020,0.10747036,0.16812032,3.82783604
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22937.20898438,0.00000000,0.00000000,0.00000000,181.20898438,0.00000000,0.10366553,0.16820210,2.87045932
