idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24198.24023438,0.00000000,0.00000000,0.00000000,1442.24023438,0.00000000,0.09076725,0.16920033,3.66483998
   3,   -1,      dbar,21,   7,   7,   4,   5,  21,-556,0.00000000,-22935.62695312,0.00000000,0.00000000,0.00000000,-179.62695312,0.00000000,0.09076725,0.16920033,3.66483998
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,165.50794983,2.78004074,-1.43651247,22.15831175,-164.01795840,1328.83367727,200.00006104,0.09076725,0.16920033,3.66483998
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,165.50794983,-0.39013317,1.70508015,-22.15830653,164.01795910,-66.22062319,199.99945068,0.09076725,0.16920033,3.66483998
 121,  -11,        e+,23,  90,  90, 123, 124,-556, -11,19.25448036,0.33786908,-2.36638927,-13.75306543,-13.47546679,6.62997491,0.00051100,0.09077214,0.16917571,3.66503239
 122,   23,        Z0,22,  90,  90, 125, 125,-556,  23,151.74360657,2.79082489,-1.26843321,45.18574805,-144.85982986,1231.63341861,91.18759918,0.09077214,0.16917571,3.66503239
 126,   11,        e-,23,  91,  91, 128, 129, 556,  11,231.39401245,-0.05966122,1.51953292,11.85685087,231.09003459,-13.81343973,0.00051102,0.09069216,0.17021856,3.66480660
 127,   23,        Z0,22,  91,  91, 130, 130, 556,  23,48.91548920,0.10326812,2.27450848,-31.65088716,37.29539416,5.06039390,91.18759918,0.09069216,0.17021856,3.66480660
 131,   11,        e-, 1, 125, 125,  -1,  -1,  23,   0,143.23970032,2.45000362,-1.35700798,30.39023832,-139.97873111,823.77835201,0.00051168,0.09077214,0.16917571,3.66503239
 132,  -11,        e+, 1, 125, 125,  -1,  -1,  23,   0,15.56881714,3.95879531,-0.31778660,14.78927639,-4.86470668,407.70904524,0.00051108,0.09077214,0.16917571,3.66503239
 133,   11,        e-,23, 130, 130, 137, 137,  23,  11,49.36844254,-0.48467895,1.48212147,4.37200475,49.17447196,-24.87574026,0.00051100,0.09069216,0.17021856,3.66480660
 134,  -11,        e+,23, 130, 130, 135, 136,  23, -11,37.93100739,0.72423303,-2.82305717,-36.02289145,-11.87908301,29.93613628,0.00051100,0.09069216,0.17021856,3.66480660
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,23916.28125000,0.00000000,0.00000000,0.00000000,1160.28125000,0.00000000,0.09054878,0.16914594,1.60590804
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22924.60156250,0.00000000,0.00000000,0.00000000,-168.60156250,0.00000000,0.09054878,0.16914594,1.60590804
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,209.42526245,2.26543140,3.00166512,-207.37836196,29.20882648,998.06793696,199.99995422,0.09054878,0.16914594,1.60590804
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,209.42526245,-0.03049624,-0.13992757,207.37836115,-29.20883225,-6.38767300,199.99864197,0.09054878,0.16914594,1.60590804
 769,  -11,        e+, 1, 604, 604,  -1,  -1,-556,   0,42.44644165,2.51108599,1.25799215,13.06195634,40.38670209,259.71110604,0.00051093,0.08924829,0.16929455,1.61218524
 770,   23,        Z0,22, 604, 604, 779, 780,-556,  11,216.67706299,1.91562796,-3.06214786,-215.99364652,-17.19576369,719.79607879,91.18759918,0.08924829,0.16929455,1.61218524
 771,   11,        e-,23, 605, 605, 773, 774, 556,  11,49.15110016,-0.13428953,1.43913341,6.45269660,48.72569500,-6.62033466,0.00051100,0.09366713,0.16852757,1.60598862
 772,   23,        Z0,22, 605, 605, 775, 775, 556,  23,237.30215454,0.05232919,-0.40395716,218.20236774,-93.27400100,12.42349859,91.18759918,0.09366713,0.16852757,1.60598862
 779,   11,        e-,23, 770, 770, 781, 782,  23,  11,191.40675354,1.71419227,3.10268092,-191.26186515,7.44608892,514.12618638,0.00051111,0.08924829,0.16929455,1.61218524
 780,  -11,        e+,23, 770, 770, 783, 783,  23, -11,34.91245651,2.47370315,-2.35801673,-24.73177905,-24.64180847,205.66991066,0.00051100,0.08924829,0.16929455,1.61218524
 787,   13,       mu-,23, 775, 775, 789, 790,  23,  13,173.28005981,-0.01536938,-0.63925606,139.06414687,-103.37863505,-2.66331256,0.10566000,0.09366713,0.16852757,1.60598862
 788,  -13,       mu+,23, 775, 775, 791, 791,  23, -13,79.60573578,0.18822910,0.12860787,78.94830389,10.20972486,15.07275448,0.10566000,0.09366713,0.16852757,1.60598862
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,25741.73046875,0.00000000,0.00000000,0.00000000,2985.73046875,0.00000000,0.09102426,0.16753760,4.23332262
   3,   -2,      ubar,21,   7,   7,   4,   5,  -2,-556,0.00000000,-22834.51757812,0.00000000,0.00000000,0.00000000,-78.51757812,0.00000000,0.09102426,0.16753760,4.23332262
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,385.80233765,1.45099747,2.06754708,-183.86241151,339.17260704,777.97669197,200.00112915,0.09102426,0.16753760,4.23332262
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,385.80233765,2.40944934,-1.07404554,183.86242229,-339.17260120,2129.23674107,199.99986267,0.09102426,0.16753760,4.23332262
 419,  -11,        e+,23, 309, 309, 421, 422,-556, -11,282.65283203,1.51470304,1.97583783,-111.38129954,259.78227339,611.68854726,0.00051117,0.08950765,0.17022741,4.23973894
 420,   23,        Z0,22, 309, 309, 423, 423,-556,  23,104.74330139,1.31207097,2.38035917,-75.83265114,72.25349962,180.39913544,91.18759918,0.08950765,0.17022741,4.23973894
 424,   11,        e-,23, 310, 310, 426, 427, 556,  11,95.92195892,1.64826262,-0.70646614,72.96405735,-62.26771667,240.07143163,0.00051101,0.09154435,0.16647615,4.23952961
 425,   23,        Z0,22, 310, 310, 428, 428, 556,  23,318.57528687,2.47698092,-1.23514950,104.93231790,-300.79797549,1882.98236365,91.18759918,0.09154435,0.16647615,4.23952961
 431,   13,       mu-,23, 428, 428, 435, 435,  23,  13,294.51849365,2.37857413,-1.16725302,115.65137334,-270.86140911,1575.20637094,0.10566000,0.09154435,0.16647615,4.23952961
 432,  -13,       mu+,23, 428, 428, 433, 434,  23, -13,31.79774094,2.96578145,-1.91463172,-10.71903339,-29.93657715,307.77581912,0.10566000,0.09154435,0.16647615,4.23952961
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22937.20898438,0.00000000,0.00000000,0.00000000,181.20898438,0.00000000,0.09345094,0.16978011,-3.33268166
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-24716.30859375,0.00000000,0.00000000,0.00000000,-1960.30859375,0.00000000,0.09345094,0.16978011,-3.33268166
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,290.29534912,-0.09002686,-3.02810860,-288.42805107,-32.87322736,-26.16969422,200.00003052,0.09345094,0.16978011,-3.33268166
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,290.29534912,-2.49807930,0.11348414,288.42804820,32.87325258,-1752.93027716,200.00006104,0.09345094,0.16978011,-3.33268166
1018,  -11,        e+,23, 788, 788,1020,1021,-556, -11,41.64243698,-0.23780593,-1.87760019,-12.57656973,-39.69788976,-9.99641965,0.00051100,0.09233230,0.17007180,-3.33283067
1019,   23,        Z0,22, 788, 788,1022,1022,-556,  23,340.86407471,-0.09941285,2.76421142,-316.87842514,125.60406485,-33.94211292,91.18759918,0.09233230,0.17007180,-3.33283067
