idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,22935.62695312,0.00000000,0.00000000,0.00000000,179.62695312,0.00000000,0.09076725,0.16920033,3.66483998
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-24198.24023438,0.00000000,0.00000000,0.00000000,-1442.24023438,0.00000000,0.09076725,0.16920033,3.66483998
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,165.50794983,2.78004074,-1.43651247,22.15831175,-164.01795840,1328.83367727,200.00006104,0.09076725,0.16920033,3.66483998
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,165.50794983,-0.39013317,1.70508015,-22.15830653,164.01795910,-66.22062319,199.99945068,0.09076725,0.16920033,3.66483998
 129,  -11,        e+,23, 101, 101, 131, 132,-556, -11,20.04110527,-0.39348194,0.72793859,14.96163720,13.33399088,-8.09088493,0.00051100,0.09076725,0.16920033,3.66483998
 130,   23,        Z0,22, 101, 101, 133, 133,-556,  23,139.33419800,-2.94639063,1.35130847,30.33720708,135.99144311,-1322.60121283,91.18759918,0.09076725,0.16920033,3.66483998
 134,   11,        e-,23, 102, 102, 136, 137, 556,  11,162.29103088,0.32170656,-1.61384511,-6.98427372,-162.14067542,53.11534310,0.00051100,0.09076725,0.16920033,3.66483998
 135,   23,        Z0,22, 102, 102, 138, 138, 556,  23,34.45289230,0.41513065,-0.08068052,34.34082021,-2.77666258,14.71680415,91.18759918,0.09076725,0.16920033,3.66483998
 139,   11,        e-, 1, 133, 133,  -1,  -1,  23,   0,10.17357445,-4.45423603,0.19140440,9.98778497,1.93539880,-437.35587399,0.00051106,0.09076725,0.16920033,3.66483998
 140,  -11,        e+, 1, 133, 133,  -1,  -1,  23,   0,135.52026367,-2.57489467,1.42016006,20.33715047,133.98560436,-884.52532667,0.00051123,0.09076725,0.16920033,3.66483998
 141,   11,        e-,23, 138, 138, 145, 145,  23,  11,47.24650192,-0.41510299,0.65734947,37.40101793,28.86859543,-20.18026690,0.00051100,0.09076725,0.16920033,3.66483998
 142,  -11,        e+,23, 138, 138, 143, 144,  23, -11,31.79287910,0.94875711,-1.66719973,-3.06019658,-31.64525808,34.89707081,0.00051100,0.09076725,0.16920033,3.66483998
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,22924.60156250,0.00000000,0.00000000,0.00000000,168.60156250,0.00000000,0.09054878,0.16914594,1.60590804
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-23916.28125000,0.00000000,0.00000000,0.00000000,-1160.28125000,0.00000000,0.09054878,0.16914594,1.60590804
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,209.42526245,2.26543140,3.00166512,-207.37836196,29.20882648,998.06793696,199.99995422,0.09054878,0.16914594,1.60590804
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,209.42526245,-0.03049624,-0.13992757,207.37836115,-29.20883225,-6.38767300,199.99864197,0.09054878,0.16914594,1.60590804
 168,  -11,        e+, 1, 125, 125,  -1,  -1,-556,   0,42.06252670,-2.54110909,-1.73966420,-7.06929874,-41.46421551,-265.30860118,0.00051100,0.09054878,0.16914594,1.60590804
 169,   23,        Z0,22, 125, 125, 175, 176,-556,  15,233.70182800,-1.86451459,0.06036858,233.27610990,14.09967953,-735.90736113,91.18759918,0.09054878,0.16914594,1.60590804
 170,   11,        e-,23, 126, 126, 172, 173, 556,  11,51.43204498,0.15801790,-1.62890732,-2.98708553,-51.34522929,8.16104834,0.00051100,0.09054878,0.16914594,1.60590804
 171,   23,        Z0,22, 126, 126, 174, 174, 556,  23,217.12275696,-0.02217268,2.76121426,-201.60373720,80.61156701,-4.81458872,91.18759918,0.09054878,0.16914594,1.60590804
 175,   15,      tau-,23, 169, 169, 177, 178,  23,  15,169.69786072,-1.81003940,0.31106573,161.55370706,51.94000065,-504.60002576,1.77681994,0.09054878,0.16914594,1.60590804
 176,  -15,      tau+,23, 169, 169, 179, 179,  23, -15,81.09249878,-1.77070463,-0.48547846,71.72240533,-37.84032151,-231.30737466,1.77681994,0.09054878,0.16914594,1.60590804
 180,   11,        e-, 1, 174, 174,  -1,  -1,  23,   0,30.69062233,0.58549327,-2.67996836,-27.47824141,-13.66969451,19.01353852,0.00051100,0.09054878,0.16914594,1.60590804
 181,  -11,        e+, 1, 174, 174,  -1,  -1,  23,   0,198.01171875,-0.12004840,2.64533305,-174.12549802,94.28123727,-23.82812684,0.00051100,0.09054878,0.16914594,1.60590804
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,  21,  21,   4,   5,  -2,-556,0.00000000,24716.30859375,0.00000000,0.00000000,0.00000000,1960.30859375,0.00000000,0.09102426,0.16753760,4.23332262
   3,    2,         u,21,  22,  22,   4,   5,  21,-556,0.00000000,-22937.20898438,0.00000000,0.00000000,0.00000000,-181.20898438,0.00000000,0.09102426,0.16753760,4.23332262
   4, -556,     P-556,22,   2,   3,  23,  23,  -2,-556,290.29534912,-0.09002686,-3.02810860,-288.42805107,-32.87322736,-26.16969422,200.00003052,0.09102426,0.16753760,4.23332262
   5,  556,      P556,22,   2,   3,  24,  24,  -2, 556,290.29534912,-2.49807930,0.11348414,288.42804820,32.87325258,-1752.93027716,200.00006104,0.09102426,0.16753760,4.23332262
 290,  -11,        e+, 1, 218, 218,  -1,  -1,-556,   0,55.62160873,0.13547570,1.43834567,7.34559701,55.13443173,7.55844756,0.00051100,0.09102426,0.16753760,4.23332262
 291,   23,        Z0,22, 218, 218, 297, 298,-556,  13,283.28402710,0.06365053,-0.08439313,282.27582292,-23.87885680,18.04335505,91.18759918,0.09102426,0.16753760,4.23332262
 292,   11,        e-,23, 219, 219, 294, 295, 556,  11,30.88396645,1.67862880,-1.06890059,14.85791633,-27.07511229,79.85935999,0.00051100,0.09102426,0.16753760,4.23332262
 293,   23,        Z0,22, 219, 219, 296, 296, 556,  23,294.20245361,2.43917060,-3.06996632,-293.44809804,-21.05463054,1673.46706332,91.18759918,0.09102426,0.16753760,4.23332262
 297,   13,       mu-,23, 291, 291, 301, 301,  23,  13,189.57063293,0.18854979,-0.27586976,182.40271210,-51.63599025,35.95566555,0.10566000,0.09102426,0.16753760,4.23332262
 298,  -13,       mu+,23, 291, 291, 299, 300,  23, -13,103.65854645,-0.17195249,0.27108267,99.87309696,27.75713882,-17.91231206,0.10566000,0.09102426,0.16753760,4.23332262
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,  10,  10,   4,   5,   1,-556,0.00000000,24127.58984375,0.00000000,0.00000000,0.00000000,1371.58984375,0.00000000,0.09345094,0.16978011,-3.33268166
   3,   -1,      dbar,21,  11,  11,   4,   5,  -1,-556,0.00000000,-22848.37695312,0.00000000,0.00000000,0.00000000,-92.37695312,0.00000000,0.09345094,0.16978011,-3.33268166
   4, -556,     P-556,22,   2,   3,  12,  12,   1,-556,128.15837097,-2.92008996,2.58861017,-109.05788161,67.31230578,-1184.76176977,200.00009155,0.09345094,0.16978011,-3.33268166
   5,  556,      P556,22,   2,   3,  13,  13,   1, 556,128.15837097,-0.68270046,-0.55298245,109.05788375,-67.31230231,-94.45044862,199.99980164,0.09345094,0.16978011,-3.33268166
 780,  -11,        e+,23, 595, 595, 782, 783,-556, -11,66.33824921,2.20596337,-2.87459922,-63.98778450,-17.50219249,297.48888500,0.00051103,0.09345094,0.16978011,-3.33268166
 781,   23,        Z0,22, 595, 595, 784, 784,-556,  23,116.31709290,2.73471022,-0.48842880,102.71627666,-54.58051491,892.17337567,91.18759918,0.09345094,0.16978011,-3.33268166
 785,   11,        e-,23, 596, 596, 787, 788, 556,  11,72.96131897,0.95108265,1.57226980,-0.10750631,72.96123977,80.33727199,0.00051100,0.09345094,0.16978011,-3.33268166
 786,   23,        Z0,22, 596, 596, 789, 789, 556,  23,119.18386078,0.09442111,-3.09224772,-119.03878852,-5.87873277,11.27020144,91.18759918,0.09345094,0.16978011,-3.33268166
 790,   13,       mu-,23, 784, 784, 792, 793,  23,  13,55.74494934,2.08028889,0.24661303,54.05837550,13.60850525,219.68770995,0.10566000,0.09345094,0.16978011,-3.33268166
 791,  -13,       mu+,23, 784, 784, 794, 794,  23, -13,83.76952362,2.77991557,-0.95101839,48.65789733,-68.18901756,672.48566656,0.10566000,0.09345094,0.16978011,-3.33268166
