idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24198.24023438,0.00000000,0.00000000,0.00000000,1442.24023438,0.00000000,0.10461449,0.17050785,-3.69056368
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22935.62695312,0.00000000,0.00000000,0.00000000,-179.62695312,0.00000000,0.10461449,0.17050785,-3.69056368
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,165.50794983,2.78004074,-1.43651247,22.15831175,-164.01795840,1328.83367727,200.00006104,0.10461449,0.17050785,-3.69056368
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,165.50794983,-0.39013317,1.70508015,-22.15830653,164.01795910,-66.22062319,199.99945068,0.10461449,0.17050785,-3.69056368
 116,  -11,        e+, 1,  83,  83,  -1,  -1,-556,   0,19.50828362,0.40015158,-2.36786366,-13.95446639,-13.63253452,8.01626977,0.00051100,0.10461449,0.17050785,-3.69056368
 117,   23,        Z0,22,  83,  83, 120, 121,-556,   1,158.10055542,2.81729221,-1.36315584,32.59268927,-154.70456435,1317.90381363,91.18759918,0.10461449,0.17050785,-3.69056368
 118,   11,        e-, 1,  84,  84,  -1,  -1, 556,   0,153.18444824,-0.36062685,1.54471052,3.99548722,153.13233253,-56.44763024,0.00051100,0.10461449,0.17050785,-3.69056368
 119,   23,        Z0,22,  84,  84, 155, 156, 556,   2,36.25266647,-0.44590476,-3.07122993,-36.16296161,-2.54873187,-16.70627933,91.18759918,0.10461449,0.17050785,-3.69056368
 120,    1,         d,23, 117, 117, 122, 123,  23,   1,24.60311890,1.50934362,-1.08986700,11.38148369,-21.81227380,52.92998758,0.33000001,0.10461449,0.17050785,-3.69056368
 121,   -1,      dbar,23, 117, 117, 124, 124,  23,  -1,134.57443237,2.93665409,-1.41251945,21.21119836,-132.89229817,1264.97399189,0.33000001,0.10461449,0.17050785,-3.69056368
